A,θ_0,θ_1,θ_2,θ_3,θ_4,θ_5,θ_6,θ_7,θ_8,θ_9,θ_10,θ_11,θ_12,θ_13,θ_14,θ_15,θ_16,θ_17,θ_18,G ,b
q_0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"G_w, out",T_o
q_1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"G_cd, layer out",0
q_2,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"G_cd, layer out",0
q_3,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"G_cd, layer in",0
q_4,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"G_cd, layer in",0
q_5,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"G_w, in",0
q_6,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,"G_w, in2",0
q_7,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,"G_cd, layer in2",0
q_8,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,"G_cd, layer in2",0
q_9,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,"G_w, in2",0
q_10,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,"G_w, in",0
q_11,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,"G_cd, layer in",0
q_12,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,"G_cd, layer in",0
q_13,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,"G_cd, layer out",0
q_14,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,"G_cd, layer out",0
q_15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"G_w, out",T_o
q_16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,G_LW,0
q_17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,G_gs,T_o
q_18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,"G_cd, glass",0
q_19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,"G_g, in",0
q_20,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,G_v,0
q_21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,"G_g, in",0
q_22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,G_LW,0
q_23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,"G_cd, glass",0
q_24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,G_gs,T_o
C,0,C_Layer out,0,C_Layer in,0,0,0,C_Air,0,0,0,C_Layer in,0,C_Layer out,0,C_Glass,0,0,C_Glass,,
f ,Φ_o,0,0,0,Φ_i1,0,Φ_i1,0,Φ_i2,0,Φ_i2,0,0,0,Φ_o,Φ_a,0,0,Φ_a,,
